,SCOREMARGIN,index,action_type,defender_distance,defender_id,defender_name,defender_x_loc,defender_y_loc,event_type,game_date,game_event_id,game_id,grid_type,homeTeam,htm,loc_x,loc_y,minutes_remaining,period,player_id,player_name,season_type,seconds_remaining,shot_attempted_flag,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,time,vtm
18,18,18,Driving Finger Roll Layup Shot,3.195350518,2570,Kendrick Perkins,84.47419,29.19713,Made Shot,20151027,302,21500003,Shot Chart Detail,1,GSW,87,27,10,3,201939,Stephen Curry,Regular,7,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:3:10:07,NOP
19,15,19,Cutting Finger Roll Layup Shot,5.065146864,202397,Ish Smith,85.20826,27.06442,Made Shot,20151027,333,21500003,Shot Chart Detail,1,GSW,89,24,7,3,201939,Stephen Curry,Regular,35,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:3:7:35,NOP
20,14,20,Jump Shot,3.13623307,201967,Dante Cunningham,87.10034,22.6257,Missed Shot,20151027,339,21500003,Shot Chart Detail,1,GSW,83,22,7,3,201939,Stephen Curry,Regular,14,1,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:3:7:14,NOP
21,15,21,Jump Shot,1.475822687,201583,Ryan Anderson,69.17083,43.6401,Missed Shot,20151027,364,21500003,Shot Chart Detail,1,GSW,70,44,5,3,201939,Stephen Curry,Regular,19,1,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:3:5:19,NOP
22,15,22,Jump Shot,5.474865544,203076,Anthony Davis,91.86622,27.59457,Missed Shot,20151027,366,21500003,Shot Chart Detail,1,GSW,94,22,5,3,201939,Stephen Curry,Regular,13,1,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:3:5:13,NOP
23,17,23,Jump Shot,3.448494112,201583,Ryan Anderson,64.51441,35.93705,Made Shot,20151027,395,21500003,Shot Chart Detail,1,GSW,67,37,3,3,201939,Stephen Curry,Regular,23,1,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:3:3:23,NOP
24,17,24,Floating Jump shot,7.851552985,202397,Ish Smith,88.46155,18.77231,Missed Shot,20151027,524,21500003,Shot Chart Detail,1,GSW,91,11,5,4,201939,Stephen Curry,Regular,21,1,12,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612744,Golden State Warriors,0021500003:4:5:21,NOP
25,15,25,Driving Layup Shot,3.705398842,202397,Ish Smith,88.32343,29.33893,Missed Shot,20151027,550,21500003,Shot Chart Detail,1,GSW,91,28,2,4,201939,Stephen Curry,Regular,30,1,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:4:2:30,NOP
26,-2,41,Jump Shot,0.294228269,203076,Anthony Davis,61.29169,44.46638,Made Shot,20151031,45,21500035,Shot Chart Detail,0,NOP,61,44,7,1,201939,Stephen Curry,Regular,42,1,31,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:1:7:42,GSW
27,TIE,42,Jump Shot,7.838064967,202397,Ish Smith,64.77722,33.41806,Missed Shot,20151031,58,21500035,Shot Chart Detail,0,NOP,58,28,6,1,201939,Stephen Curry,Regular,30,1,27,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:1:6:30,GSW
28,TIE,43,Jump Shot,6.616335919,201950,Jrue Holiday,67.02156,30.22851,Made Shot,20151031,63,21500035,Shot Chart Detail,0,NOP,64,24,6,1,201939,Stephen Curry,Regular,10,1,18,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500035:1:6:10,GSW
29,-2,44,Jump Shot,4.749305057,201962,Toney Douglas,66.87395,34.19621,Made Shot,20151031,101,21500035,Shot Chart Detail,0,NOP,63,37,4,1,201939,Stephen Curry,Regular,3,1,29,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:1:4:03,GSW
30,-5,45,Jump Shot,4.107385087,202397,Ish Smith,53.70357,33.26709,Missed Shot,20151031,123,21500035,Shot Chart Detail,0,NOP,52,37,2,1,201939,Stephen Curry,Regular,5,1,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:1:2:05,GSW
31,-5,46,Driving Bank shot,7.304834317,203076,Anthony Davis,62.84855,25.27659,Missed Shot,20151031,132,21500035,Shot Chart Detail,0,NOP,69,28,0,1,201939,Stephen Curry,Regular,53,1,10,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612744,Golden State Warriors,0021500035:1:0:53,GSW
32,-2,47,Floating Jump shot,7.8066296,201582,Alexis Ajinca,86.82847,29.99862,Made Shot,20151031,208,21500035,Shot Chart Detail,0,NOP,94,30,6,2,201939,Stephen Curry,Regular,51,1,9,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612744,Golden State Warriors,0021500035:2:6:51,GSW
33,-5,48,Jump Shot,4.20825912,201962,Toney Douglas,89.82018,45.53897,Missed Shot,20151031,256,21500035,Shot Chart Detail,0,NOP,93,48,3,2,201939,Stephen Curry,Regular,47,1,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612744,Golden State Warriors,0021500035:2:3:47,GSW
34,TIE,49,Jump Shot,2.759594341,201950,Jrue Holiday,33.63514,32.45,Missed Shot,20151031,347,21500035,Shot Chart Detail,0,NOP,30,31,9,3,201939,Stephen Curry,Regular,53,1,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:3:9:53,GSW
